ln_rSalesGoods	ln_rGDP	ln_rInventory
5.5506315	9.1068048	7.0634761
5.570251	9.1185484	7.0618486
5.5793524	9.1295147	7.0647593
5.5891194	9.1391888	7.0685978
5.6028566	9.1491594	7.0736089
5.5987921	9.151022	7.0842266
5.6131282	9.156951	7.0915756
5.6204009	9.1618156	7.0961418
5.6419072	9.1750765	7.1006045
5.647212	9.1848335	7.1074257
5.6580877	9.1984081	7.1228666
5.6705704	9.2042875	7.1328969
5.6862969	9.2155781	7.14921
5.6920471	9.2189903	7.1642561
5.6960864	9.2224789	7.1747241
5.7134027	9.2310028	7.1815157
5.726522	9.2380772	7.1860685
5.7378616	9.2446156	7.1872792
5.7589016	9.2619247	7.1913538
5.768321	9.2711325	7.1983333
5.7899604	9.2816429	7.2048182
5.800909	9.2892351	7.2157545
5.8084426	9.3042088	7.2346821
5.8345184	9.3168612	7.2474365
5.8383136	9.3245907	7.2628388
5.8464389	9.3344364	7.2838602
5.8667512	9.3440886	7.2926092
5.8836007	9.3570852	7.3034391
5.9105258	9.3733673	7.3150187
5.9153929	9.381321	7.3311257
5.9333057	9.389534	7.3382382
5.9459438	9.4020405	7.3480082
5.9589415	9.4192495	7.3654332
5.9730458	9.4221478	7.3718667
5.9824238	9.4408588	7.3877091
5.9877076	9.4420614	7.3984189
5.9904642	9.4477291	7.4070144
5.9927139	9.4448814	7.4003763
5.9959545	9.4501686	7.3989086
5.9884601	9.4470005	7.3930783
6.0006719	9.4497719	7.3788209
5.9934626	9.4589376	7.3778214
5.9899635	9.4644403	7.3834305
5.9934626	9.4692965	7.3889461
5.9869542	9.4699326	7.3945546
5.9971981	9.4750996	7.3996425
6.0127368	9.4843359	7.399765
6.0476084	9.5009451	7.4008651
6.0577202	9.5125694	7.408288
6.058188	9.5183039	7.4159575
6.06425	9.5256071	7.4257751
6.0774131	9.5346556	7.4350839
6.0867748	9.5432615	7.4454174
6.0998702	9.5538645	7.4622149
6.117877	9.5590725	7.4667993
6.1279602	9.5674381	7.4689126
6.1242456	9.5731373	7.4820628
6.1488957	9.5850792	7.492816
6.1459007	9.5880632	7.5053821
6.1418223	9.5889568	7.5173578
6.1546459	9.5967541	7.5236435
6.1537962	9.5973711	7.5258555
6.1609964	9.6049919	7.5329981
6.1675167	9.6116953	7.5399308
6.1744108	9.6152573	7.5431676
6.1609964	9.608408	7.5411525
6.1704473	9.6133595	7.5373235
6.1546459	9.6085558	7.5339074
6.1050162	9.5871992	7.5244532
6.0860925	9.573247	7.5048318
6.0833597	9.5718927	7.4784522
6.0910835	9.5751553	7.4495564
6.0829034	9.5847893	7.4423757
6.0838156	9.5891085	7.4443073
6.0940213	9.5987225	7.4522285
6.0919886	9.6054497	7.4704518
6.1145668	9.6117306	7.4802589
6.11058	9.6078606	7.4838066
6.1187577	9.6151085	7.4920359
6.1346989	9.6172142	7.4898591
6.1493225	9.6284094	7.5006952
6.1668873	9.6350222	7.5097737
6.176075	9.639679	7.5222921
6.1791883	9.6408758	7.5354033
6.189085	9.6410999	7.5400901
6.2033448	9.6480713	7.5465517
6.2075834	9.6499853	7.552762
6.2160072	9.6576729	7.565845
6.2353907	9.6673813	7.5778899
6.232841	9.6644077	7.5825348
6.2488165	9.6741238	7.5900941
6.2668209	9.6862297	7.5989003
6.2689071	9.691947	7.6091681
6.2639694	9.6970158	7.623642
6.2768316	9.7034607	7.6355453
6.2876725	9.7083769	7.6444407
6.2874866	9.7105503	7.6519756
6.2911987	9.7126293	7.6575661
6.2985816	9.7161427	7.6568103
