date	ln_rSalesGoods	resid_rCIPI	ln_rGDP	ln_rISratio
1971q1	4.940928	.0087513439	8.4835014	1.5389633
1971q2	4.94876	.007396407	8.489192	1.539837
1971q3	4.9614449	.0069699818	8.4969807	1.5375898
1971q4	4.9739714	-.00039791473	8.499897	1.5273184
1972q1	4.9897523	.0024534627	8.5176802	1.516032
1972q2	5.0139632	.0079066958	8.5405731	1.5042988
1972q3	5.0251956	.0083882902	8.5497475	1.5085934
1972q4	5.0613284	.0032928421	8.5662165	1.4828712
1973q1	5.0949764	.0052884575	8.5905371	1.4660543
1973q2	5.0962014	.010285655	8.6018105	1.4795717
1973q3	5.0943637	.0048993672	8.5963621	1.4890457
1973q4	5.0912933	.011355647	8.6056433	1.5149515
1974q1	5.0863609	.0055434294	8.5973015	1.5345119
1974q2	5.0807829	.0072606136	8.5999269	1.5545071
1974q3	5.0707893	.0023302573	8.5901985	1.5686944
1974q4	5.0310912	.0087185493	8.5861902	1.6315304
1975q1	5.0343518	-.003487658	8.5740356	1.6146327
1975q2	5.0414877	-.0060546556	8.5817108	1.5936711
1975q3	5.0606947	-.00095936994	8.5981016	1.5727555
1975q4	5.0751739	.000061927574	8.6114931	1.5569597
1976q1	5.0974245	.0061780647	8.6338234	1.5466257
1976q2	5.0998664	.0092610782	8.6413507	1.5624998
1976q3	5.1041255	.0083145574	8.6464224	1.5718237
1976q4	5.1215801	.002995535	8.6539001	1.5635314
1977q1	5.1316724	.0050543169	8.6654682	1.564621
1977q2	5.1579051	.0074234423	8.6849051	1.5477339
1977q3	5.1682086	.012894388	8.7024412	1.5553834
1977q4	5.1789708	.0067266263	8.7025461	1.5538359
1978q1	5.1693468	.0080284039	8.7060194	1.5794126
1978q2	5.233779	.007566181	8.7441635	1.5290663
1978q3	5.2459707	.0076410123	8.7538948	1.5271095
1978q4	5.2652774	.0089690555	8.7672186	1.5245948
1979q1	5.2642436	.0067677586	8.7692032	1.5358152
1979q2	5.2606153	.0076549342	8.7704134	1.5517296
1979q3	5.2887721	.002780688	8.7775679	1.5259905
1979q4	5.2887721	.0019907427	8.7801533	1.5300428
1980q1	5.2882671	.0021962749	8.7833824	1.5357804
1980q2	5.2470241	.0019119728	8.7628927	1.5827696
1980q3	5.2663107	-.0081518609	8.7613764	1.5537058
1980q4	5.2776041	-.0022914798	8.7797394	1.5406637
1981q1	5.2862449	.0092857732	8.8002234	1.5453851
1981q2	5.2816796	.0023214752	8.7928944	1.5503817
1981q3	5.2826958	.0095509104	8.8043041	1.5620129
1981q4	5.270432	.0048811808	8.7925692	1.5811759
1982q1	5.2585363	-.0046029631	8.7756996	1.583079
1982q2	5.2543654	-.00090449536	8.7811327	1.5836109
1982q3	5.2321777	.0010116703	8.7775249	1.6041892
1982q4	5.2475505	-.0087087303	8.7784996	1.5717016
1983q1	5.256453	-.008024239	8.7915125	1.5514818
1983q2	5.2765827	-.0012437644	8.8140755	1.5333391
1983q3	5.3018112	-.00042220671	8.8334656	1.5183142
1983q4	5.3332019	.004353805	8.853878	1.4986439
1984q1	5.3428125	.013761501	8.8735514	1.5128069
1984q2	5.3687758	.012701144	8.8909626	1.5088295
1984q3	5.3785138	.013137233	8.9007521	1.5211084
1984q4	5.3990674	.008156321	8.9086971	1.5144712
1985q1	5.4165449	.0024781663	8.9185896	1.4992779
1985q2	5.4223032	.0036023939	8.9277029	1.4989603
1985q3	5.4380794	.0029804383	8.94314	1.4863364
1985q4	5.4367743	.0054597771	8.950614	1.496259
1986q1	5.4497499	.0047955308	8.9598398	1.4919235
1986q2	5.4531822	.0023146651	8.9644194	1.4941785
1986q3	5.4718504	-.0013104673	8.9744349	1.473971
1986q4	5.4756265	-.0011034748	8.979599	1.4681716
1987q1	5.4604363	.005031107	8.9865675	1.4950612
1987q2	5.4810557	.0027823504	8.9977303	1.4829856
1987q3	5.5008502	-.00023688054	9.0067587	1.464136
1987q4	5.4971681	.010283511	9.0231295	1.4890285
1988q1	5.5154428	.0022274645	9.0287371	1.4769293
1988q2	5.5329943	.0030524987	9.0418634	1.4689798
1988q3	5.5318074	.0025255366	9.0476189	1.4780533
1988q4	5.5459585	.0034260594	9.0607786	1.4752148
1989q1	5.5514078	.0067338399	9.0708151	1.4810396
1989q2	5.5633702	.0051064463	9.0786476	1.4780413
1989q3	5.581615	.001394201	9.0860853	1.463726
1989q4	5.5729141	.0020208547	9.0881987	1.4776419
1990q1	5.5891194	.0018332413	9.0990877	1.4645525
1990q2	5.5774632	.0045897313	9.1029472	1.4854995
1990q3	5.575191	.0029983635	9.1031942	1.4924695
1990q4	5.564137	-.0014139625	9.0946331	1.499339
1991q1	5.551796	-.0022427063	9.0899296	1.5073918
1991q2	5.5576	-.0026390115	9.0976601	1.4965905
1991q3	5.5576	.00011115275	9.1024494	1.4996954
1991q4	5.5506315	.0038711678	9.1068048	1.5128449
1992q1	5.570251	.0002882577	9.1185484	1.4915978
1992q2	5.5793524	.002748888	9.1295147	1.4854066
1992q3	5.5891194	.002495541	9.1391888	1.4794782
1992q4	5.6028566	.0028350984	9.1491594	1.4707521
1993q1	5.5987921	.0048973686	9.151022	1.4854342
1993q2	5.6131282	.0032787058	9.156951	1.4784476
1993q3	5.6204009	.00021535678	9.1618156	1.4757408
1993q4	5.6419072	.0017874826	9.1750765	1.4586974
1994q1	5.647212	.0056331954	9.1848335	1.4602133
1994q2	5.6580877	.010081832	9.1984081	1.4647791
1994q3	5.6705704	.0062314202	9.2042875	1.4623265
1994q4	5.6862969	.0086843241	9.2155781	1.462913
1995q1	5.6920471	.007225581	9.2189903	1.472209
1995q2	5.6960864	.0040939259	9.2224789	1.4786381
1995q3	5.7134027	.0009201318	9.2310028	1.4681132
1995q4	5.726522	.0014705302	9.2380772	1.4595467
1996q1	5.7378616	.00019649581	9.2446156	1.4494174
1996q2	5.7589016	.002820519	9.2619247	1.4324523
1996q3	5.768321	.0061979168	9.2711325	1.4300122
1996q4	5.7899604	.0035646085	9.2816429	1.414858
1997q1	5.800909	.0047675944	9.2892351	1.4148453
1997q2	5.8084426	.010380461	9.3042088	1.4262394
1997q3	5.8345184	.0073221903	9.3168612	1.4129183
1997q4	5.8383136	.0084572695	9.3245907	1.4245256
1998q1	5.8464389	.011423404	9.3344364	1.4374214
1998q2	5.8667512	.004359026	9.3440886	1.4258581
1998q3	5.8836007	.005848051	9.3570852	1.4198384
1998q4	5.9105258	.0060699885	9.3733673	1.4044931
1999q1	5.9153929	.00828241	9.381321	1.4157326
1999q2	5.9333057	.0037974284	9.389534	1.4049325
1999q3	5.9459438	.0042683505	9.4020405	1.4020641
1999q4	5.9589415	.0087993443	9.4192495	1.4064919
2000q1	5.9730458	.0019137787	9.4221478	1.3988206
2000q2	5.9824238	.0087086679	9.4408588	1.4052855
2000q3	5.9877076	.0054786522	9.4420614	1.4107115
2000q4	5.9904642	.0050624544	9.4477291	1.4165502
2001q1	5.9927139	-.0029878786	9.4448814	1.4076624
2001q2	5.9959545	-.0010061515	9.4501686	1.4029542
2001q3	5.9884601	-.0029031755	9.4470005	1.4046184
2001q4	6.0006719	-.0076073008	9.4497719	1.3781488
2002q1	5.9934626	-.00029981069	9.4589376	1.3843589
2002q2	5.9899635	.0020571991	9.4644403	1.3934669
2002q3	5.9934626	.0025082876	9.4692965	1.3954836
2002q4	5.9869542	.0027143653	9.4699326	1.4076002
2003q1	5.9971981	.0027959114	9.4750996	1.4024446
2003q2	6.0127368	-.000015054017	9.4843359	1.3870283
2003q3	6.0476084	.00056686957	9.5009451	1.3532563
2003q4	6.0577202	.0034529562	9.5125694	1.3505678
2004q1	6.058188	.0041619497	9.5183039	1.3577693
2004q2	6.06425	.0060100015	9.5256071	1.3615247
2004q3	6.0774131	.0051659099	9.5346556	1.3576711
2004q4	6.0867748	.0054943268	9.5432615	1.3586428
2005q1	6.0998702	.0079563819	9.5538645	1.3623445
2005q2	6.117877	.0023360399	9.5590725	1.3489226
2005q3	6.1279602	.0012751095	9.5674381	1.3409524
2005q4	6.1242456	.0066388492	9.5731373	1.3578169
2006q1	6.1488957	.0054334919	9.5850792	1.3439205
2006q2	6.1459007	.005820842	9.5880632	1.3594813
2006q3	6.1418223	.0056437603	9.5889568	1.3755355
2006q4	6.1546459	.0028229449	9.5967541	1.3689976
2007q1	6.1537962	.0013339209	9.5973711	1.3720597
2007q2	6.1609964	.0033432087	9.6049919	1.372002
